sample_id,feature_1,feature_2,feature_3,feature_4,label
1,0.20,1.10,-0.40,0.70,0
2,0.35,0.90,-0.20,0.55,0
3,0.10,1.30,-0.50,0.80,0
4,0.45,1.00,-0.10,0.60,0
5,0.30,1.20,-0.35,0.75,0
6,0.50,0.85,-0.05,0.50,0
7,0.25,1.05,-0.30,0.65,0
8,0.40,0.95,-0.15,0.58,0
9,1.20,-0.20,0.80,1.10,1
10,1.35,-0.10,0.95,1.25,1
11,1.10,-0.35,0.70,1.00,1
12,1.45,0.00,1.05,1.30,1
13,1.25,-0.15,0.85,1.15,1
14,1.50,0.10,1.10,1.35,1
15,1.15,-0.25,0.75,1.05,1
16,1.40,-0.05,1.00,1.28,1
17,0.28,1.08,-0.32,0.68,0
18,1.32,-0.12,0.90,1.20,1
19,0.38,0.98,-0.18,0.59,0
20,1.22,-0.22,0.82,1.12,1
21,0.18,1.18,-0.42,0.76,0
22,1.42,0.02,1.02,1.31,1
23,0.48,0.88,-0.08,0.52,0
24,1.18,-0.30,0.78,1.08,1
